Frequency(ppm);Intensity
-52,51156;0,0726212793903883
-52,50981;-0,35349105263968
-52,50805;-0,513553229862927
-52,5063;-0,0974901717759851
-52,50455;-0,035703320448512
-52,5028;0,00235152561036667
-52,50105;-0,0165454731887811
-52,49929;-0,23378232058886
-52,49754;0,10714387694871
-52,49579;0,115216024590669
-52,49404;-0,0452096281200921
-52,49228;-0,185690344275903
-52,49054;0,0416766385531606
-52,48878;-0,244789334825383
-52,48703;-0,125982216358506
-52,48528;0,0561815837329679
-52,48353;-0,262044554920578
-52,48178;0,151671963583012
-52,48002;-0,0796482011096477
-52,47827;-0,49203889039165
-52,47652;-0,237026704872315
-52,47477;0,101844113461398
-52,47301;-0,0959114784546626
-52,47126;0,037405494099605
-52,46951;0,510281301352647
-52,46776;0,00238830977517938
-52,46601;0,190985405367982
-52,46425;-0,536726257671368
-52,46251;0,120003233949522
-52,46075;0,392345581343363
-52,459;-0,119756217933053
-52,45724;-0,279755529520431
-52,45549;0,0464148119361302
-52,45375;-0,108074554010747
-52,45199;0,0983691515746081
-52,45024;0,0980327447894682
-52,44849;-0,0366251446959614
-52,44674;0,351480197413686
-52,44498;0,0414002356970446
-52,44323;0,128917146712763
-52,44148;-0,591170353368917
-52,43973;-0,21155500486974
-52,43798;-0,135808624070928
-52,43622;0,131894491584445
-52,43447;-0,0333248987579226
-52,43272;-0,152489604329916
-52,43097;0,179159134095043
-52,42921;0,140976543951002
-52,42746;-0,185721328457612
-52,42572;0,141650687110919
-52,42396;0,435421387801276
-52,42221;0,389758147229868
-52,42046;-0,137324522827112
-52,41871;-0,0344839803869583
-52,41695;-0,0974477576693593
-52,4152;-0,0137701370597519
-52,41345;-0,0730820043357581
-52,4117;-0,299130040583304
-52,40995;0,257990749664418
-52,40819;-0,0155166036911718
-52,40644;0,174764239635135
-52,40469;0,32877589308559
-52,40294;-0,211125160377414
-52,40118;0,0838725315532283
-52,39943;-0,143489199916426
-52,39769;0,00399795395885071
-52,39593;0,188602695270847
-52,39418;0,110143052674549
-52,39243;0,0981823837954082
-52,39068;0,122610306888798
-52,38892;-0,0875899507038529
-52,38717;-0,126916386351947
-52,38542;-0,0865195846741205
-52,38367;-0,397501061266641
-52,38192;0,549391841633574
-52,38016;0,0545018417628903
-52,37841;-0,118988870787341
-52,37666;0,000231688072238438
-52,37491;0,00113050301351727
-52,37315;-0,183521206011799
-52,3714;0,0179178985524968
-52,36966;0,0583003456906283
-52,3679;0,216279873316798
-52,36615;0,134676024993477
-52,3644;0,0977298368961996
-52,36265;-0,096684440826173
-52,36089;0,390118403295821
-52,35914;0,384561674919541
-52,35739;0,0441862262151896
-52,35564;0,388289981047075
-52,35389;-0,0404049576211852
-52,35213;0,0986734346592459
-52,35038;0,00490441923314623
-52,34863;0,347942927756391
-52,34688;0,2154175356692
-52,34512;0,36435748096284
-52,34337;0,271794228716059
-52,34163;-0,224173646531922
-52,33987;-0,00874006203632498
-52,33812;-0,189748125206058
-52,33636;-0,0686598019709471
-52,33462;-0,192772437178265
-52,33286;0,373432523132465
-52,33111;0,076720527807701
-52,32936;-0,0250445675697109
-52,32761;0,182008005278123
-52,32586;0,045837365651564
-52,3241;-0,287818342847555
-52,32235;-0,0236952256722978
-52,3206;0,228770922533474
-52,31885;-0,232436815257415
-52,31709;-0,186675990881353
-52,31534;-0,182588432795826
-52,31359;0,00428395615003663
-52,31184;0,168896306818104
-52,31009;0,295592827805685
-52,30833;0,103318199421394
-52,30659;0,314541335662016
-52,30483;-0,0994966667156274
-52,30308;0,197278673454424
-52,30133;0,23228406933822
-52,29958;-0,150643155861595
-52,29782;0,0684241350468165
-52,29607;0,116270088182505
-52,29432;-0,0393110129862248
-52,29257;0,00749542763503682
